,card_name,card_img_url,series,ext_code,ext_name
43,#44 - Hisuian Decidueye V,https://den-cards.pokellector.com/339/Hisuian-Decidueye-V.S9A.44.43126.thumb.png,Sword & Shield Series,S9A,Battle Region Set
44,#45 - Hisuian Decidueye VMAX,https://den-cards.pokellector.com/339/Hisuian-Decidueye-VMAX.S9A.45.43127.thumb.png,Sword & Shield Series,S9A,Battle Region Set
45,#46 - Kleavor,https://den-cards.pokellector.com/339/Kleavor.S9A.46.42887.thumb.png,Sword & Shield Series,S9A,Battle Region Set
46,#47 - Hisuian Qwilfish,https://den-cards.pokellector.com/339/Hisuian-Qwilfish.S9A.47.43128.thumb.png,Sword & Shield Series,S9A,Battle Region Set
47,#48 - Hisuian Overqwil,https://den-cards.pokellector.com/339/Hisuian-Overqwil.S9A.48.43129.thumb.png,Sword & Shield Series,S9A,Battle Region Set
48,#49 - Poochyena,https://den-cards.pokellector.com/339/Poochyena.S9A.49.43130.thumb.png,Sword & Shield Series,S9A,Battle Region Set
49,#50 - Mightyena,https://den-cards.pokellector.com/339/Mightyena.S9A.50.43131.thumb.png,Sword & Shield Series,S9A,Battle Region Set
50,#51 - Absol,https://den-cards.pokellector.com/339/Absol.S9A.51.43132.thumb.png,Sword & Shield Series,S9A,Battle Region Set
51,#52 - Hisuian Samurott V,https://den-cards.pokellector.com/339/Hisuain-Samurott-V.S9A.52.43133.thumb.png,Sword & Shield Series,S9A,Battle Region Set
52,#53 - Hisuian Samurott VSTAR,https://den-cards.pokellector.com/339/Hisuain-Samurott-VSTAR.S9A.53.43134.thumb.png,Sword & Shield Series,S9A,Battle Region Set
53,#54 - Garchomp V,https://den-cards.pokellector.com/339/Garchomp-V.S9A.54.42672.thumb.png,Sword & Shield Series,S9A,Battle Region Set
54,#55 - Hoothoot,https://den-cards.pokellector.com/339/Hoothoot.S9A.55.43135.thumb.png,Sword & Shield Series,S9A,Battle Region Set
55,#56 - Noctowl,https://den-cards.pokellector.com/339/Noctowl.S9A.56.43136.thumb.png,Sword & Shield Series,S9A,Battle Region Set
56,#57 - Stantler,https://den-cards.pokellector.com/339/Stantler.S9A.57.42889.thumb.png,Sword & Shield Series,S9A,Battle Region Set
57,#58 - Miltank,https://den-cards.pokellector.com/339/Miltank.S9A.58.42890.thumb.png,Sword & Shield Series,S9A,Battle Region Set
58,#59 - Glameow,https://den-cards.pokellector.com/339/Glameow.S9A.59.43137.thumb.png,Sword & Shield Series,S9A,Battle Region Set
59,#60 - Purrugly,https://den-cards.pokellector.com/339/Purrugly.S9A.60.43138.thumb.png,Sword & Shield Series,S9A,Battle Region Set
60,#61 - Wait and See Turbo,https://den-cards.pokellector.com/339/Wait-and-See-Turbo.S9A.61.43139.thumb.png,Sword & Shield Series,S9A,Battle Region Set
61,#62 - Honey,https://den-cards.pokellector.com/339/Honey.S9A.62.42892.thumb.png,Sword & Shield Series,S9A,Battle Region Set
62,#63 - Cancelling Cologne,https://den-cards.pokellector.com/339/Cancelling-Cologne.S9A.63.43140.thumb.png,Sword & Shield Series,S9A,Battle Region Set
63,#64 - Cyllene,https://den-cards.pokellector.com/339/Cyllene.S9A.64.43141.thumb.png,Sword & Shield Series,S9A,Battle Region Set
