,Unnamed: 0,serieName,extensionCode,extensionUrl,extensionName,extensionImageUrl,extensionReleaseDate,extensionCardNumber
92,92,Pokemon XY Series,XYD,https://jp.pokellector.com/sets/XYD-Mega-Rayquaza-EX-Battle-Deck,Mega Rayquaza EX Battle Deck Set,https://den-media.pokellector.com/logos/Mega-Rayquaza-EX-Battle-Deck.logo.170.png,2015-03-14,18
93,93,Pokemon XY Series,XY6,https://jp.pokellector.com/sets/XY6-Emerald-Break,Emerald Break Set,https://den-media.pokellector.com/logos/Emerald-Break.logo.167.png,2015-03-14,78
94,94,Pokemon XY Series,CP1,https://jp.pokellector.com/sets/CP1-Magma-Gang-vs-Aqua-Gang-Double-Crisis,Magma Gang vs Aqua Gang: Double Crisis Set,https://den-media.pokellector.com/logos/Team-Magma-vs-Team-Aqua-Double-Crisis.logo.168.png,2015-01-30,34
95,95,Pokemon XY Series,XY5,https://jp.pokellector.com/sets/XY5-Gaia-Volcano,Gaia Volcano Set,https://den-media.pokellector.com/logos/Gaia-Volcano.logo.165.png,2014-12-13,70
96,96,Pokemon XY Series,XY5,https://jp.pokellector.com/sets/XY5-Tidal-Storm,Tidal Storm Set,https://den-media.pokellector.com/logos/Tidal-Storm.logo.164.png,2014-12-13,70
97,97,Pokemon XY Series,XYB,https://jp.pokellector.com/sets/XYB-Hyper-Metal-Chain-Deck,Hyper Metal Chain Deck Set,https://den-media.pokellector.com/logos/Hyper-Metal-Chain-Deck.logo.163.png,2014-09-14,18
98,98,Pokemon XY Series,XY4,https://jp.pokellector.com/sets/XY4-Phantom-Gate,Phantom Gate Set,https://den-media.pokellector.com/logos/Phantom-Gate.logo.160.png,2014-09-13,88
99,99,Pokemon XY Series,XY3,https://jp.pokellector.com/sets/XY3-Rising-Fist,Rising Fist Set,https://den-media.pokellector.com/logos/Rising-Fist.logo.157.png,2014-06-14,96
100,100,Pokemon XY Series,XYA,https://jp.pokellector.com/sets/XYA-M-Charizard-EX-Mega-Battle-Deck,M Charizard EX Mega Battle Deck Set,https://den-media.pokellector.com/logos/M-Charizard-EX-Mega-Battle-Deck.logo.156.png,2014-03-15,21
101,101,Pokemon XY Series,XY2,https://jp.pokellector.com/sets/XY2-Wild-Blaze,Wild Blaze Set,https://den-media.pokellector.com/logos/Wild-Blaze.logo.152.png,2014-03-15,80
102,102,Pokemon XY Series,X30,https://jp.pokellector.com/sets/X30-Xerneas-Half-Deck,Xerneas Half Deck Set,https://den-media.pokellector.com/logos/Xerneas-Half-Deck.logo.154.png,2014-01-15,15
103,103,Pokemon XY Series,Y30,https://jp.pokellector.com/sets/Y30-Yveltal-Half-Deck,Yveltal Half Deck Set,https://den-media.pokellector.com/logos/Yveltal-Half-Deck.logo.153.png,2014-01-15,15
104,104,Pokemon XY Series,XY1,https://jp.pokellector.com/sets/XY1-Collection-Y,Collection Y Set,https://den-media.pokellector.com/logos/Collection-Y.logo.140.png,2013-12-13,60
105,105,Pokemon XY Series,XY1,https://jp.pokellector.com/sets/XY1-Collection-X,Collection X Set,https://den-media.pokellector.com/logos/Collection-X.logo.139.png,2013-12-13,60
106,106,Pokemon XY Series,HXY,https://jp.pokellector.com/sets/HXY-XY-Beginning-Set,XY Beginning Set Set,https://den-media.pokellector.com/logos/XY-Beginning-Set.logo.146.png,2013-11-08,39
107,107,Pokemon XY Series,XYP,https://jp.pokellector.com/sets/XYP-XY-Promos,XY Promos Set,https://den-media.pokellector.com/logos/XY-Promos.logo.141.png,2013-08-13,298
108,108,Black & White Series,EBB,https://jp.pokellector.com/sets/EBB-EX-Battle-Boost,EX Battle Boost Set,https://den-media.pokellector.com/logos/EX-Battle-Boost.logo.129.png,2013-07-13,93
109,109,Black & White Series,BW9,https://jp.pokellector.com/sets/BW9-Megalo-Cannon,Megalo Cannon Set,https://den-media.pokellector.com/logos/Megalo-Cannon.logo.29.png,2013-03-15,82
110,110,Black & White Series,BW8,https://jp.pokellector.com/sets/BW8-Thunder-Knuckle,Thunder Knuckle Set,https://den-media.pokellector.com/logos/Thunder-Knuckle.logo.28.png,2012-12-14,55
111,111,Black & White Series,BW8,https://jp.pokellector.com/sets/BW8-Spiral-Force,Spiral Force Set,https://den-media.pokellector.com/logos/Spiral-Force.logo.27.png,2012-12-14,55
112,112,Black & White Series,BW7,https://jp.pokellector.com/sets/BW7-Plasma-Gale,Plasma Gale Set,https://den-media.pokellector.com/logos/Plasma-Gale.logo.12.png,2012-09-14,70
113,113,Black & White Series,BW6,https://jp.pokellector.com/sets/BW6-Freeze-Bolt,Freeze Bolt Set,https://den-media.pokellector.com/logos/Freeze-Bolt.logo.24.png,2012-07-13,63
114,114,Black & White Series,BW6,https://jp.pokellector.com/sets/BW6-Cold-Flare,Cold Flare Set,https://den-media.pokellector.com/logos/Cold-Flare.logo.23.png,2012-07-13,59
115,115,Black & White Series,BW5,https://jp.pokellector.com/sets/BW5-Dragon-Blade,Dragon Blade Set,https://den-media.pokellector.com/logos/Dragon-Blade.logo.21.png,2012-03-16,53
116,116,Black & White Series,BW5,https://jp.pokellector.com/sets/BW5-Dragon-Blast,Dragon Blast Set,https://den-media.pokellector.com/logos/Dragon-Blast.logo.22.png,2012-03-16,53
117,117,Black & White Series,BW4,https://jp.pokellector.com/sets/BW4-Dark-Rush,Dark Rush Set,https://den-media.pokellector.com/logos/Dark-Rush.logo.20.png,2011-12-16,73
118,118,Black & White Series,BW3,https://jp.pokellector.com/sets/BW3-Hail-Blizzard,Hail Blizzard Set,https://den-media.pokellector.com/logos/Hail-Blizzard.logo.18.png,2011-09-16,55
119,119,Black & White Series,BW3,https://jp.pokellector.com/sets/BW3-Psycho-Drive,Psycho Drive Set,https://den-media.pokellector.com/logos/Psycho-Drive.logo.19.png,2011-09-16,55
120,120,Black & White Series,BW2,https://jp.pokellector.com/sets/BW2-Red-Collection,Red Collection Set,https://den-media.pokellector.com/logos/Red-Collection.logo.17.png,2011-07-15,71
